names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,-log10_padj
LINC01374,0.024184972,-0.20689932,0.9807050658701578,0.9979179206335086,0.0008966844545534074,0.000766969193404065,0.0009051782335539927
HSPA5,-10.582631,-0.2070435,3.587398956837089e-26,1.1890617942496828e-25,0.627372933251684,0.6439345519621629,24.924795574982404
C7orf57,0.022962928,-0.20717227,0.9816798450186992,0.9979179206335086,0.0006342402239524101,0.00051131279560271,0.0009051782335539927
HEY1,0.28738347,-0.2073565,0.7738187193084944,0.909989424953536,0.02617881200244948,0.02447910008947974,0.04096365461408336
FGD2,-0.058000434,-0.20741484,0.9537482828660473,0.9941192226500591,0.02561018283614732,0.025821296177936853,0.002561528445628152
TGM4,0.017289506,-0.20782173,0.9862056575206776,0.9984896661054243,0.0011153879800542385,0.00102262559120542,0.000656425511971461
CPZ,-0.010360843,-0.20784366,0.9917333915496808,0.9984896661054243,0.0003280552882512466,0.0003834845967020325,0.000656425511971461
ZNF131,2.379602,-0.20808032,0.017331351618274957,0.02784075433274014,0.19779546846295162,0.17512463249392815,1.5553190018880416
CRY2,1.8463018,-0.20808391,0.06484839100473104,0.09857023135928797,0.050498644038141895,0.03981848395756104,1.0062542240893018
BTN3A2,-3.4707468,-0.20830058,0.0005190130169293443,0.0009315467863953744,0.185526200682355,0.2002428735779113,3.030795328032286
ARMCX3,0.6640917,-0.20830144,0.5066316286952912,0.6540575766596788,0.25787332691802994,0.24012527163492267,0.18438401906877835
FBXO44,1.8105685,-0.20834757,0.07020767424243199,0.10629101184484656,0.05891872976992389,0.048127316886105075,0.9735034586302748
RBM22,4.027439,-0.2083747,5.638767846164177e-05,0.0001063416591540742,0.20190709474236726,0.16834973795219224,3.9732965680594754
TRAT1,-4.2740073,-0.20855744,1.9199052942401995e-05,3.696976236710077e-05,0.10335928615169276,0.12878691039243256,4.432153340960259
TWSG1,2.9666476,-0.20874302,0.0030106587195075406,0.005132632561330625,0.09668882862391742,0.07778345903106225,2.2896598252187528
TBC1D12,3.35305,-0.20891502,0.0007992625568688745,0.001419962998887137,0.06685766774560406,0.04729643359325067,2.847722972228567
N4BP2L2,-3.30806,-0.20934695,0.0009394468194338077,0.0016593949431127342,0.46395765899746305,0.44036814521283396,2.780050237724002
ATRX,1.1813138,-0.209376,0.23747808373219614,0.333572889603248,0.37518589799667573,0.33433465422472197,0.47680925292083154
HOTAIRM1,1.347305,-0.21018186,0.17788201075205812,0.2555317061214609,0.11352900008748142,0.10315735651284673,0.5925552053559358
HLA-F,-3.4089916,-0.2103576,0.0006520346678496958,0.001163962162256262,0.3975811390079608,0.3904512335421194,2.934061137375482
MPHOSPH8,-0.7166662,-0.21080156,0.47358005673243064,0.6177792258024561,0.3773073221940338,0.3488431547999489,0.2091666999048368
PGBD1,0.59377956,-0.21099328,0.5526595442385362,0.703293386072654,0.010760213454640889,0.007541863735139972,0.15286346676924178
PRKX,2.8694384,-0.21119235,0.004112013630661973,0.006948543393103329,0.13483072347126235,0.11453406621500703,2.1581062260052444
TEX9,0.30357143,-0.2113993,0.7614544178027254,0.8997735274655091,0.0274472924503543,0.025629553879585838,0.045866788504055456
SI,0.11943618,-0.21148834,0.9049297956707556,0.9860314619036904,0.0033899046452628818,0.002748306276364566,0.006109227540358651
SH3BGRL,-6.3036757,-0.21152373,2.906680577893513e-10,6.693372397044625e-10,0.42222902633190446,0.4390259491243768,9.174355011619477
SVIL-AS1,1.7205039,-0.21177907,0.08534087319136488,0.1279600408107051,0.04844283089843408,0.038476287869103926,0.8929256300769801
PTPRC,-8.961233,-0.2118064,3.210684783342276e-19,9.216870497826635e-19,0.36453503630478523,0.42042694618432824,18.035416514547027
HNRNPL,5.7124705,-0.21182103,1.1134769686591997e-08,2.4365676502310718e-08,0.19009710436532237,0.1478333120286335,7.613221526119671
FAM71A,0.0326904,-0.21206152,0.9739214810867298,0.9972791037904684,0.008113900796080833,0.007925348331842004,0.0011832807326689297
MED26,2.4714322,-0.21208665,0.013457308607260056,0.02184452649609221,0.07018196133321669,0.05541352422344369,1.660657364658374
SLC41A1,1.3772835,-0.2120997,0.1684246419369928,0.2427643692171604,0.049820663109089315,0.04167199284162086,0.6148150547792501
HOXA5,1.160372,-0.21245413,0.2458973715819579,0.3443193859828794,0.03219315895372234,0.025629553879585838,0.4630385248167457
ZNF772,-0.06097987,-0.21253358,0.9513752414963162,0.9935813454690549,0.002230775960108477,0.00255656397801355,0.002796570987850357
NFATC4,1.185725,-0.21285519,0.23573094589095267,0.3312785839495523,0.025500831073396905,0.01891857343730027,0.47980663889365804
METTL16,3.08404,-0.2136475,0.0020421024702700825,0.0035184982503045966,0.07547458665033681,0.05713920490860284,2.4536426606045403
LBHD1,0.1716202,-0.21442854,0.8637361170856145,0.9689606226065215,0.002646312658560056,0.001725680685159146,0.013693871795658397
ENTPD1-AS1,0.9054649,-0.21452749,0.36521916283331957,0.49287378293379625,0.018961595660922054,0.013997187779624186,0.30726428233219033
ZNF830,3.4463975,-0.2147332,0.000568114087358381,0.0010172718274303859,0.13896422010322806,0.11478972261280838,2.992562982791099
UBASH3A,-0.5212477,-0.2148266,0.6021942459073485,0.7548924209117661,0.016052838771761002,0.01885465933784993,0.1221149349050047
FOXN3,-1.7208093,-0.21495797,0.08528543753639604,0.1278988737509335,0.1975330242323506,0.20069027227406366,0.8931332798052272
ZNF549,0.03460306,-0.21518794,0.9723962611484491,0.9968541068477985,0.006648587175225265,0.006455324044484213,0.0013683975832756551
MILR1,0.21306123,-0.21526833,0.8312792051720134,0.9508005933713752,0.02189222290263319,0.020644254122459415,0.021910555911217905
AGAP5,0.37434125,-0.2153771,0.7081504477883905,0.8544911947382158,0.008354474674131748,0.006327495845583535,0.06829240818760654
SNAI3-AS1,0.17041229,-0.21538453,0.8646859133381215,0.969268636400481,0.005970606246172688,0.005049213856576761,0.013555839938414329
PADI4,-0.09605136,-0.21549062,0.9234797835239685,0.9902170305951241,0.0015309246785058174,0.00204525118241084,0.004269608574236105
EHD3,0.010125583,-0.21574834,0.9919210918824267,0.9984896661054243,0.00844195608433208,0.008372747027994376,0.000656425511971461
CCDC174,4.086877,-0.21594782,4.372189124055093e-05,8.285770277293255e-05,0.14806228676406263,0.1195832800715838,4.081667111670952
